"","Name","Event","Year","Date","Elo","dElo"
"6231","Paige Pierce","Jonesboro",2019,2019-04-12,1720.5,9.5
"6236","Lisa Fajkus","Jonesboro",2019,2019-04-12,1629.3,-5.4
"6237","Rebecca Cox","Jonesboro",2019,2019-04-12,1635.8,12.4
"6242","Sarah Hokom","Jonesboro",2019,2019-04-12,1690.3,1
"6257","Catrina Allen","Jonesboro",2019,2019-04-12,1704.2,10.8
"6268","Jessica Weese","Jonesboro",2019,2019-04-12,1659,5
"6290","Henna Blomroos","Jonesboro",2019,2019-04-12,1613.9,17.8
"6291","Madison Walker","Jonesboro",2019,2019-04-12,1603.5,-0.2
"6365","Hailey King","Jonesboro",2019,2019-04-12,1558.1,2.9
"6374","Missy Gannon","Jonesboro",2019,2019-04-12,1543.2,4.8
"6526","Kristin Tattar","Dutch",2019,2019-04-20,1649.9,20.3
"6600","Jennifer Allen","DDO",2019,2019-04-24,1609.5,16.9
"6606","Kona Star Panis","DDO",2019,2019-04-24,1570.3,6.5
"6607","Paige Pierce","DDO",2019,2019-04-24,1733.2,12.7
"6612","Lisa Fajkus","DDO",2019,2019-04-24,1633.1,3.9
"6613","Rebecca Cox","DDO",2019,2019-04-24,1635.3,-0.5
"6618","Sarah Hokom","DDO",2019,2019-04-24,1695.3,5.1
"6633","Catrina Allen","DDO",2019,2019-04-24,1716.1,11.9
"6644","Jessica Weese","DDO",2019,2019-04-24,1661.3,2.3
"6667","Madison Walker","DDO",2019,2019-04-24,1612.7,9.1
"6670","Emily Beach","DDO",2019,2019-04-24,1528.7,11.5
"6741","Hailey King","DDO",2019,2019-04-24,1568,9.9
"6750","Missy Gannon","DDO",2019,2019-04-24,1550.5,7.3
"6771","Kat Mertsch","DDO",2019,2019-04-24,1487.2,-5.9
"6902","Kristin Tattar","Bluebell",2019,2019-05-03,1661.5,11.6
"6982","Kona Star Panis","San Francisco",2019,2019-05-10,1580.1,9.8
"6983","Paige Pierce","San Francisco",2019,2019-05-10,1739.8,6.6
"6989","Rebecca Cox","San Francisco",2019,2019-05-10,1638.4,3.1
"6994","Sarah Hokom","San Francisco",2019,2019-05-10,1699,3.7
"7009","Catrina Allen","San Francisco",2019,2019-05-10,1727.3,11.2
"7020","Jessica Weese","San Francisco",2019,2019-05-10,1664,2.8
"7043","Madison Walker","San Francisco",2019,2019-05-10,1624,11.4
"7230","Henna Blomroos","Helsinki",2019,2019-05-10,1623.7,9.8
"7247","Eveliina Salonen","Helsinki",2019,2019-05-10,1652.3,13.2
"7256","Heidi Laine","Helsinki",2019,2019-05-10,1532.3,20.9
